1 264 T(K)	P(Mpa)	rho(g/cm3)	D(cm2/s)	0.577124869	2.381951731	0.167727541	48.12771503	0.00801	0.497302	190.6	4.604
233	150	1.1258	2.00E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
233	200	1.1453	1.65E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
258	0.1473	0.9909	4.90E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
258	10	1.0066	4.70E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
258	50	1.0475	3.85E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
258	100	1.0856	3.30E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
258	150	1.1152	2.80E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
258	200	1.1393	2.35E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
283	0.3612	0.9436	6.25E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
283	10	0.9647	6.00E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
283	50	1.0179	5.25E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
283	100	1.0649	4.30E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
283	150	1.1005	3.60E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
283	200	1.1292	3.10E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
313	0.8626	0.8814	8.60E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
313	10	0.9085	8.15E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
313	50	0.9787	6.75E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
313	100	1.0360	5.30E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
313	150	1.0783	4.70E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
313	200	1.1120	3.95E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
343	10	0.8446	1.09E-04	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
343	50	0.9368	8.55E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
343	100	1.0044	6.95E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
343	150	1.0527	5.85E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
343	200	1.0910	5.10E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
373	10	0.7694	1.36E-04	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
373	50	0.8930	1.04E-04	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
373	100	0.9715	8.30E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
373	150	1.0255	7.00E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
373	200	1.0677	6.20E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
406	50	0.8430	1.31E-04	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
406	100	0.9348	9.85E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
406	150	0.9949	8.10E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
406	200	1.0411	7.50E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
440	50	0.7903	1.47E-04	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
440	100	0.8969	1.16E-04	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
440	150	0.9635	9.70E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
440	200	1.0135	8.60E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
1511 25 T(K)	P(Mpa)	density(g/cm3)	D(cm2/s)	0.364705882	0.796078431	4.05043E-05	16.44736842	1.1063	1.5585	510	6.08
186	0.1	1.5137	3.90E-06	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
186	10	1.5446	3.70E-06	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
186	50	1.5585	3.10E-06	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
210	0.000246	1.4744	7.70E-06	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
210	10	1.4954	7.20E-06	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
210	50	1.5147	6.10E-06	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
210	100	1.5359	5.00E-06	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
233	0.001692	1.4356	1.26E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
233	10	1.4501	1.24E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
233	50	1.4744	1.04E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
233	100	1.5002	8.10E-06	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
270	0.016407	1.3705	2.40E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
270	10	1.3786	2.25E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
270	50	1.4109	1.80E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
270	100	1.4435	1.50E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
299	0.060417	1.3166	3.50E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
299	10	1.3229	3.25E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
299	50	1.3619	2.75E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
333	0.196494	1.2495	4.65E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
333	10	1.2569	3.90E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
333	50	1.3053	3.22E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
368	10	1.187	6.60E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
368	50	1.248	5.30E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
406	10	1.1063	8.70E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
406	50	1.1865	7.15E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.							
1521 69 T(K)	P(Mpa)	density(g/cm3)	D(cm2/s)	0.404548844	0.740119314	0.018274854	71.25365497	0.06808	1.6364	536.4	5.472
278.15	0.1	1.5171	1.87E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
278.15	25	1.5480	1.56E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
278.15	49.9	1.5743	1.38E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
278.15	74.8	1.5973	1.22E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
278.15	99.6	1.6181	1.15E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
278.15	199.2	1.6850	7.86E-06	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
278.15	250.5	1.7125	6.65E-06	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	0.1	1.4727	2.52E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	0.1	1.4727	2.58E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	25.6	1.5092	2.25E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	50.4	1.5388	2.01E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	53.6	1.5422	1.96E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	100	1.5864	1.54E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	101.9	1.5881	1.52E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	151	1.6258	1.26E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	198.9	1.6569	1.07E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	200.4	1.6581	1.09E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	225	1.6722	1.03E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	249.9	1.6859	9.50E-06	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	250.1	1.6862	9.24E-06	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	300.2	1.7113	8.05E-06	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
301.6	350	1.7337	6.94E-06	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
297.6	389.9	1.7535	6.31E-06	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
323.15	0.1	1.4311	3.33E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
323.15	0.1	1.4311	3.22E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
323.15	0.1	1.4311	3.19E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
323.15	0.1	1.4311	3.25E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
323.15	25	1.4718	2.82E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
323.15	50.1	1.5056	2.44E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
323.15	75	1.5337	2.18E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
323.15	100.1	1.5579	1.98E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
323.15	150	1.5983	1.62E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
323.15	199.9	1.6318	1.37E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
322.79	251.3	1.6627	1.18E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
323.15	301	1.6893	1.04E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
323.15	350.9	1.7155	9.20E-06	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
348.15	10	1.4030	3.83E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
348.15	24.9	1.4300	3.55E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
348.15	50.1	1.4688	3.11E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
348.15	76.1	1.5009	2.66E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
348.15	99.7	1.5254	2.42E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
348.15	101.5	1.5272	2.43E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
348.15	149.6	1.5677	2.08E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
348.15	199.2	1.6016	1.73E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
348.15	248.8	1.6320	1.54E-05	Harris, et al. Molecular Physics, 1990 Vol 71, 1205-1221.	
217	0.00014	1.6239	6.50E-06	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
217	20	1.6364	5.90E-06	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
233	0.00057	1.5964	9.40E-06	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
233	20	1.6114	8.60E-06	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
233	50	1.6322	7.50E-06	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
254	0.00256	1.5964	1.35E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
254	20	1.5784	1.25E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
254	50	1.6032	1.05E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
275	0.00868	1.5229	1.85E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
275	20	1.5448	1.73E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
275	50	1.5735	1.45E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
295	0.02280	1.4868	2.45E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
295	20	1.5121	2.30E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
295	50	1.5446	1.95E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
313	0.04782	1.4868	3.05E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
313	20	1.4823	2.85E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
313	50	1.5183	2.44E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
339	0.11802	1.4042	4.00E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
339	20	1.4382	3.65E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
339	50	1.4798	3.10E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
370	20	1.3842	4.85E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
370	50	1.4336	4.10E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
397	20	1.3355	6.30E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
397	50	1.3932	5.30E-05	Prielmeier, F. X. and Ludemann, H.-D. (1986) Selfdi¤usion in compressed liquid chloromethane,dichloromethane and trichloromethane. Mol. Phys.58, 593.	
1606 67 T(K)	P(MPa)	rho(g/cc)	D(cm2/s)	1.003807947	1.15281457	0.950904393	48.67700258	0.2987556	1.5386958	302	3.87
303.15	3.68	0.299	5.87E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	3.69	0.303	5.96E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	3.95	0.432	4.02E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	3.99	0.487	3.36E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	3.97	0.490	3.43E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	3.97	0.490	3.39E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	3.98	0.562	3.17E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	3.98	0.530	3.00E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	4	0.585	2.77E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	3.99	0.630	2.55E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	3.95	0.652	2.46E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	4.01	0.697	2.27E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	4.02	0.710	2.23E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	4.35	0.832	1.75E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	5.48	0.937	1.45E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	5.49	0.938	1.47E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	5.551	0.939	1.49E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	5.58	0.943	1.44E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	5.61	0.944	1.44E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	8.45	1.040	1.23E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	8.6	1.045	1.20E-04	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	15.47	1.137	9.98E-05	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	19.76	1.181	9.27E-05	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	31.1	1.269	7.58E-05	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
303.15	31.43	1.271	7.44E-05	Harris, K. R.  The density dependence of the self-diffusion coefficient of chlorotrifluoromethane near the critical temperature.    Physica A:  Statistical Mechanics and Its Applications (Amsterdam, Netherlands)  (1978),  93A(3-4),  593-610. 							
